Image  Lidar          Camera_FAST_BRIEF

1      12.97          11.17          
2      12.26          10.77          
3      16.96          15.47          
4      13.13          13.40          
5      12.60          41.09          
6      13.87          11.92          
7      15.16          11.51          
8      11.93          11.57          
9      15.89          10.65          
10     9.86           15.03          
11     14.99          12.42          
12     10.10          10.26          
13     9.22           12.42          
14     10.97          11.04          
15     8.09           11.89          
16     8.81           9.11           
17     10.29          9.36           
18     8.31           12.47          
19     7.64           9.76           
20     6.43           10.18          
21     4.96           8.84           
22     6.81           9.30           
23     12.45          8.23           
24     8.72           7.63           
25     4.80           8.53           
26     9.98           10.57          
27     7.06           9.27           
28     12.67          10.60          
29     7.25           9.22           
30     7.24           12.17          
31     11.04          11.25          
32     10.94          12.63          
33     9.23           13.17          
34     7.61           12.18          
35     6.59           8.47           
36     10.63          8.51           
37     7.03           9.59           
38     5.09           10.20          
39     5.48           10.45          
40     5.21           10.89          
41     5.16           9.04           
42     5.94           7.40           
43     13.82          7.40           
44     4.74           8.05           
45     5.61           8.62           
46     6.55           9.77           
47     6.95           9.44           
48     14.97          11.51          
49     -149.75        13.43          
50     14.39          14.56          
51     14.77          17.32          
52     -63.41         55.57          
53     15.21          -inf           
54     -49.10         -inf           
55     -27.72         -inf           
56     27.62          -inf           
57     -110.58        -inf           
58     49.05          -inf           
59     -147.24        -inf           
60     63.00          -inf           
61     -26.04         -inf           
62     44.17          -inf           
63     147.14         -inf           
64     -220.82        -inf           
65     -73.70         -inf           
66     36.75          -inf           
67     -63.10         -inf           
68     5.87           -inf           
69     -6.99          -inf           
70     -110.26        -inf           
71     inf            -inf           
72     88.11          -inf           
73     -220.37        -inf           
74     -88.24         -inf           
75     -147.18        -inf           
76     73.48          -inf           

Image  Lidar          Camera_FAST_BRISK

1      12.97          10.28          
2      12.26          12.35          
3      16.96          -346.12        
4      13.13          11.17          
5      12.60          12.76          
6      13.87          11.88          
7      15.16          13.27          
8      11.93          42.64          
9      15.89          11.56          
10     9.86           12.60          
11     14.99          12.02          
12     10.10          8.56           
13     9.22           10.42          
14     10.97          10.40          
15     8.09           11.24          
16     8.81           11.44          
17     10.29          10.45          
18     8.31           12.61          
19     7.64           8.06           
20     6.43           10.43          
21     4.96           7.13           
22     6.81           9.34           
23     12.45          7.70           
24     8.72           8.08           
25     4.80           7.38           
26     9.98           6.99           
27     7.06           8.31           
28     12.67          12.68          
29     7.25           8.54           
30     7.24           15.29          
31     11.04          14.58          
32     10.94          11.57          
33     9.23           10.36          
34     7.61           12.04          
35     6.59           9.81           
36     10.63          9.28           
37     7.03           8.76           
38     5.09           7.25           
39     5.48           10.70          
40     5.21           8.80           
41     5.16           9.86           
42     5.94           8.66           
43     13.82          10.22          
44     4.74           9.01           
45     5.61           7.18           
46     6.55           12.01          
47     6.95           8.53           
48     14.97          8.83           
49     -149.75        15.66          
50     14.39          14.73          
51     14.77          16.06          
52     -63.41         61.76          
53     15.21          -inf           
54     -49.10         -inf           
55     -27.72         -83.68         
56     27.62          -inf           
57     -110.58        -inf           
58     49.05          -inf           
59     -147.24        -inf           
60     63.00          -inf           
61     -26.04         -inf           
62     44.17          -inf           
63     147.14         -inf           
64     -220.82        -inf           
65     -73.70         -inf           
66     36.75          -inf           
67     -63.10         -inf           
68     5.87           -inf           
69     -6.99          -inf           
70     -110.26        -inf           
71     inf            -inf           
72     88.11          -inf           
73     -220.37        -inf           
74     -88.24         -inf           
75     -147.18        -inf           
76     73.48          -inf           

Image  Lidar          Camera_FAST_ORB

1      12.97          11.86          
2      12.26          11.71          
3      16.96          12.76          
4      13.13          17.75          
5      12.60          14.66          
6      13.87          16.08          
7      15.16          13.34          
8      11.93          12.92          
9      15.89          12.70          
10     9.86           14.25          
11     14.99          11.79          
12     10.10          12.22          
13     9.22           10.42          
14     10.97          10.76          
15     8.09           8.86           
16     8.81           9.26           
17     10.29          10.67          
18     8.31           11.22          
19     7.64           8.12           
20     6.43           10.93          
21     4.96           7.47           
22     6.81           9.05           
23     12.45          7.94           
24     8.72           7.27           
25     4.80           9.81           
26     9.98           8.74           
27     7.06           7.64           
28     12.67          9.66           
29     7.25           10.07          
30     7.24           12.91          
31     11.04          9.87           
32     10.94          10.91          
33     9.23           13.25          
34     7.61           11.41          
35     6.59           8.88           
