Image  Lidar          Camera_FAST_BRIEF

1      12.97          13.61          
2      12.26          11.90          
3      13.92          15.40          
4      14.89          14.30          
5      7.42           14.94          
6      12.42          13.36          
7      29.06          12.97          
8      9.34           14.06          
9      18.13          12.60          
10     18.03          13.74          
11     14.99          11.79          
12     10.10          11.70          
13     9.22           11.96          
14     10.97          11.19          
15     8.09           11.26          
16     8.81           10.96          
17     10.29          9.98           
18     8.52           11.83          
19     8.64           10.62          
20     4.86           10.65          
21     3.74           9.09           
22     22.99          9.86           
23     6.43           9.35           
24     5.17           8.08           
25     4.39           10.52          
26     9.98           10.50          
27     7.06           9.81           
28     12.67          11.44          
29     7.25           10.26          
30     7.24           11.86          
31     11.04          13.01          
32     10.94          15.00          
33     9.23           13.50          
34     7.61           11.81          
35     6.59           10.06          
36     10.63          9.62           
37     4.24           8.56           
38     7.69           10.46          
39     8.61           10.00          
40     3.83           9.63           
41     7.79           8.86           
42     5.11           8.19           
43     7.14           7.94           
44     5.01           8.55           
45     5.57           8.87           
46     6.08           10.02          
47     6.25           10.04          
48     4.45           12.44          
49     34.56          13.75          
50     14.39          16.42          
51     14.77          19.58          
52     -73.97         585.85         
53     15.75          -inf           
54     -49.10         -inf           
55     -27.72         -inf           
56     27.62          -inf           
57     -110.58        -inf           
58     49.05          -inf           
59     -147.24        -inf           
60     63.00          -inf           
61     -26.04         -inf           
62     44.17          -inf           
63     147.14         -inf           
64     -220.82        -inf           
65     -73.70         -inf           
66     36.75          -inf           
67     -63.10         -inf           
68     -110.52        -inf           
69     29.37          -inf           
70     -110.26        -inf           
71     inf            -inf           
72     88.11          -inf           
73     -220.37        -inf           
74     -88.24         -inf           
75     -147.18        -inf           
76     73.48          -inf           

Image  Lidar          Camera_FAST_FREAK

1      12.97          12.29          
2      12.26          11.63          
3      13.92          13.50          
4      14.89          13.57          
5      7.42           11.42          
6      12.42          12.05          
7      29.06          12.82          
8      9.34           12.75          
9      18.13          12.34          
10     18.03          13.27          
11     14.99          12.05          
12     10.10          12.24          
13     9.22           11.61          
14     10.97          11.12          
15     8.09           10.36          
16     8.81           10.76          
17     10.29          11.26          
18     8.52           12.17          
19     8.64           10.85          
20     4.86           11.30          
21     3.74           8.29           
22     22.99          9.49           
23     6.43           9.05           
24     5.17           9.14           
25     4.39           10.60          
26     9.98           10.76          
27     7.06           9.26           
28     12.67          11.79          
29     7.25           9.58           
30     7.24           12.66          
31     11.04          12.61          
32     10.94          14.78          
33     9.23           13.12          
34     7.61           10.64          
35     6.59           9.73           
36     10.63          8.99           
37     4.24           8.11           
38     7.69           9.38           
39     8.61           8.83           
40     3.83           9.44           
41     7.79           8.03           
42     5.11           8.31           
43     7.14           8.53           
44     5.01           8.37           
45     5.57           8.53           
46     6.08           9.76           
47     6.25           9.73           
48     4.45           11.80          
49     34.56          14.74          
50     14.39          15.99          
51     14.77          19.26          
52     -73.97         193.04         
53     15.75          -inf           
54     -49.10         -inf           
55     -27.72         -inf           
56     27.62          -inf           
57     -110.58        -inf           
58     49.05          -inf           
59     -147.24        -inf           
60     63.00          -inf           
61     -26.04         -inf           
62     44.17          -inf           
63     147.14         -inf           
64     -220.82        -inf           
65     -73.70         -inf           
66     36.75          -inf           
67     -63.10         -inf           
68     -110.52        -inf           
69     29.37          -inf           
70     -110.26        -inf           
71     inf            -inf           
72     88.11          -inf           
73     -220.37        -inf           
74     -88.24         -inf           
75     -147.18        -inf           
76     73.48          -inf           

Image  Lidar          Camera_AKAZE_AKAZE

1      12.97          12.11          
2      12.26          14.04          
3      13.92          13.71          
4      14.89          16.11          
5      7.42           15.72          
6      12.42          13.84          
7      29.06          15.30          
8      9.34           14.19          
9      18.13          14.10          
10     18.03          11.53          
11     14.99          12.11          
12     10.10          11.02          
13     9.22           10.88          
14     10.97          10.32          
15     8.09           10.17          
16     8.81           10.77          
17     10.29          9.72           
18     8.52           9.44           
19     8.64           9.58           
20     4.86           9.06           
21     3.74           9.04           
22     22.99          7.87           
23     6.43           9.67           
24     5.17           8.66           
25     4.39           8.87           
26     9.98           10.23          
27     7.06           10.13          
28     12.67          9.55           
29     7.25           9.96           
30     7.24           9.25           
31     11.04          11.34          
32     10.94          12.57          
33     9.23           12.56          
34     7.61           10.06          
35     6.59           8.67           
36     10.63          9.01           
37     4.24           7.56           
38     7.69           9.43           
39     8.61           10.26          
40     3.83           8.55           
